experiment,algo,episode,distance
original,VPG,0,93.96
original,VPG,1,98.94
original,VPG,2,113.51
original,VPG,3,113.33
original,VPG,4,127.14
original,VPG,5,121.32
original,VPG,6,103.0
original,VPG,7,111.95
original,VPG,8,88.8
original,VPG,9,90.47
original,VPG,10,92.5
original,VPG,11,102.21
original,VPG,12,76.57
original,VPG,13,64.16
original,VPG,14,65.62
original,VPG,15,63.81
original,VPG,16,48.18
original,VPG,17,43.56
original,VPG,18,37.88
original,VPG,19,38.2
original,VPG,20,36.81
original,VPG,21,24.91
original,VPG,22,26.64
original,VPG,23,27.81
original,VPG,24,20.27
original,VPG,25,22.88
original,VPG,26,21.06
original,VPG,27,22.96
original,VPG,28,26.8
original,VPG,29,18.72
original,VPG,30,27.61
original,VPG,31,19.18
original,VPG,32,19.49
original,VPG,33,25.98
original,VPG,34,16.56
original,VPG,35,25.71
original,VPG,36,18.59
original,VPG,37,29.55
original,VPG,38,20.01
original,VPG,39,25.74
original,VPG,40,28.02
original,VPG,41,12.76
original,VPG,42,26.77
original,VPG,43,25.68
original,VPG,44,27.64
original,VPG,45,23.74
original,VPG,46,23.52
original,VPG,47,31.36
original,VPG,48,13.53
original,VPG,49,30.29
original,VPG,50,28.51
original,VPG,51,19.88
original,VPG,52,27.59
original,VPG,53,18.86
original,VPG,54,24.61
original,VPG,55,16.83
original,VPG,56,27.27
original,VPG,57,27.76
original,VPG,58,27.92
original,VPG,59,25.46
original,VPG,60,30.2
original,VPG,61,24.98
original,VPG,62,24.31
original,VPG,63,19.3
original,VPG,64,28.53
original,VPG,65,14.44
original,VPG,66,23.37
original,VPG,67,22.29
original,VPG,68,26.73
original,VPG,69,18.36
original,VPG,70,19.59
original,VPG,71,31.81
original,VPG,72,30.63
original,VPG,73,25.01
original,VPG,74,29.84
original,VPG,75,26.47
original,VPG,76,23.43
original,VPG,77,27.58
original,VPG,78,27.63
original,VPG,79,29.36
original,VPG,80,30.11
original,VPG,81,28.37
original,VPG,82,21.8
original,VPG,83,31.23
original,VPG,84,30.56
original,VPG,85,30.14
original,VPG,86,31.11
original,VPG,87,31.02
original,VPG,88,17.96
original,VPG,89,22.07
original,VPG,90,21.75
original,VPG,91,19.5
original,VPG,92,22.44
original,VPG,93,31.43
original,VPG,94,27.44
original,VPG,95,32.18
original,VPG,96,27.01
original,VPG,97,27.97
original,VPG,98,24.87
original,VPG,99,29.07
original,VPG,100,24.87
original,VPG,101,32.01
original,VPG,102,16.85
original,VPG,103,31.07
original,VPG,104,28.1
original,VPG,105,30.36
original,VPG,106,24.16
original,VPG,107,18.31
original,VPG,108,23.66
original,VPG,109,18.36
original,VPG,110,22.45
original,VPG,111,28.75
original,VPG,112,22.67
original,VPG,113,25.08
original,VPG,114,17.35
original,VPG,115,24.75
original,VPG,116,27.96
original,VPG,117,24.32
original,VPG,118,31.88
original,VPG,119,26.53
original,VPG,120,27.33
original,VPG,121,18.88
original,VPG,122,30.47
original,VPG,123,25.67
original,VPG,124,15.31
original,VPG,125,25.82
original,VPG,126,33.76
original,VPG,127,28.81
original,VPG,128,33.38
original,VPG,129,33.3
original,VPG,130,27.19
original,VPG,131,24.16
original,VPG,132,28.13
original,VPG,133,26.85
original,VPG,134,28.45
original,VPG,135,31.41
original,VPG,136,28.27
original,VPG,137,27.27
original,VPG,138,27.76
original,VPG,139,28.3
original,VPG,140,30.54
original,VPG,141,20.18
original,VPG,142,29.62
original,VPG,143,27.38
original,VPG,144,20.29
original,VPG,145,26.65
original,VPG,146,32.92
original,VPG,147,22.33
original,VPG,148,29.82
original,VPG,149,30.82
original,VPG,150,29.12
original,VPG,151,29.17
original,VPG,152,16.95
original,VPG,153,31.83
original,VPG,154,28.76
original,VPG,155,32.7
original,VPG,156,30.4
original,VPG,157,34.06
original,VPG,158,23.1
original,VPG,159,33.72
original,VPG,160,33.22
original,VPG,161,33.12
original,VPG,162,18.64
original,VPG,163,34.53
original,VPG,164,22.93
original,VPG,165,34.92
original,VPG,166,35.56
original,VPG,167,36.32
original,VPG,168,32.45
original,VPG,169,35.16
original,VPG,170,35.98
original,VPG,171,31.66
original,VPG,172,33.74
original,VPG,173,18.78
original,VPG,174,28.91
original,VPG,175,29.42
original,VPG,176,32.21
original,VPG,177,37.17
original,VPG,178,17.75
original,VPG,179,29.63
original,VPG,180,20.47
original,VPG,181,22.46
original,VPG,182,26.84
original,VPG,183,32.97
original,VPG,184,30.4
original,VPG,185,29.37
original,VPG,186,30.12
original,VPG,187,31.3
original,VPG,188,27.99
original,VPG,189,27.35
original,VPG,190,32.1
original,VPG,191,32.65
original,VPG,192,28.12
original,VPG,193,25.84
original,VPG,194,27.7
original,VPG,195,17.94
original,VPG,196,30.13
original,VPG,197,27.0
original,VPG,198,20.08
original,VPG,199,20.37
original,VPG,200,34.63
original,VPG,201,32.01
original,VPG,202,18.12
original,VPG,203,28.64
original,VPG,204,30.42
original,VPG,205,20.27
original,VPG,206,17.76
original,VPG,207,34.13
original,VPG,208,28.58
original,VPG,209,19.61
original,VPG,210,33.16
original,VPG,211,23.94
original,VPG,212,31.48
original,VPG,213,31.12
original,VPG,214,31.86
original,VPG,215,29.52
original,VPG,216,18.97
original,VPG,217,35.52
original,VPG,218,34.74
original,VPG,219,20.76
original,VPG,220,30.03
original,VPG,221,31.08
original,VPG,222,31.99
original,VPG,223,17.47
original,VPG,224,30.34
original,VPG,225,31.04
original,VPG,226,28.97
original,VPG,227,29.59
original,VPG,228,33.89
original,VPG,229,31.02
original,VPG,230,31.02
original,VPG,231,29.28
original,VPG,232,23.86
