experiment,algo,episode,distance
FOMAML,VPG,0,63.61
FOMAML,VPG,1,84.78
FOMAML,VPG,2,98.9
FOMAML,VPG,3,136.04
FOMAML,VPG,4,102.63
FOMAML,VPG,5,116.92
FOMAML,VPG,6,96.25
FOMAML,VPG,7,61.57
FOMAML,VPG,8,46.88
FOMAML,VPG,9,45.54
FOMAML,VPG,10,47.21
FOMAML,VPG,11,41.04
FOMAML,VPG,12,42.51
FOMAML,VPG,13,37.36
FOMAML,VPG,14,34.42
FOMAML,VPG,15,34.95
FOMAML,VPG,16,35.46
FOMAML,VPG,17,38.74
FOMAML,VPG,18,46.46
FOMAML,VPG,19,48.27
FOMAML,VPG,20,54.9
FOMAML,VPG,21,49.96
FOMAML,VPG,22,56.03
FOMAML,VPG,23,51.21
FOMAML,VPG,24,58.86
FOMAML,VPG,25,53.43
FOMAML,VPG,26,54.68
FOMAML,VPG,27,55.54
FOMAML,VPG,28,42.92
FOMAML,VPG,29,42.01
FOMAML,VPG,30,45.62
FOMAML,VPG,31,45.38
FOMAML,VPG,32,56.41
FOMAML,VPG,33,57.22
FOMAML,VPG,34,54.01
FOMAML,VPG,35,48.91
FOMAML,VPG,36,49.15
FOMAML,VPG,37,44.3
FOMAML,VPG,38,25.53
FOMAML,VPG,39,27.87
FOMAML,VPG,40,24.07
FOMAML,VPG,41,24.89
FOMAML,VPG,42,24.98
FOMAML,VPG,43,22.91
FOMAML,VPG,44,24.8
FOMAML,VPG,45,24.24
FOMAML,VPG,46,25.6
FOMAML,VPG,47,26.99
FOMAML,VPG,48,24.28
FOMAML,VPG,49,32.38
FOMAML,VPG,50,27.2
FOMAML,VPG,51,25.83
FOMAML,VPG,52,30.06
FOMAML,VPG,53,21.33
FOMAML,VPG,54,23.88
FOMAML,VPG,55,27.37
FOMAML,VPG,56,25.0
FOMAML,VPG,57,27.37
FOMAML,VPG,58,26.36
FOMAML,VPG,59,26.06
FOMAML,VPG,60,29.06
FOMAML,VPG,61,31.65
FOMAML,VPG,62,30.35
FOMAML,VPG,63,30.28
FOMAML,VPG,64,26.68
FOMAML,VPG,65,30.72
FOMAML,VPG,66,33.5
FOMAML,VPG,67,34.3
FOMAML,VPG,68,31.42
FOMAML,VPG,69,25.89
FOMAML,VPG,70,28.95
FOMAML,VPG,71,28.39
FOMAML,VPG,72,31.17
FOMAML,VPG,73,27.42
FOMAML,VPG,74,28.34
FOMAML,VPG,75,33.91
FOMAML,VPG,76,36.41
FOMAML,VPG,77,41.99
FOMAML,VPG,78,34.43
FOMAML,VPG,79,24.78
FOMAML,VPG,80,25.58
FOMAML,VPG,81,27.4
FOMAML,VPG,82,31.28
FOMAML,VPG,83,31.81
FOMAML,VPG,84,26.2
FOMAML,VPG,85,26.65
FOMAML,VPG,86,24.72
FOMAML,VPG,87,31.14
FOMAML,VPG,88,27.65
FOMAML,VPG,89,26.89
FOMAML,VPG,90,31.99
FOMAML,VPG,91,32.39
FOMAML,VPG,92,26.85
FOMAML,VPG,93,25.37
FOMAML,VPG,94,27.73
FOMAML,VPG,95,24.97
FOMAML,VPG,96,27.41
FOMAML,VPG,97,26.39
FOMAML,VPG,98,25.44
FOMAML,VPG,99,26.93
FOMAML,VPG,100,25.25
FOMAML,VPG,101,23.24
FOMAML,VPG,102,24.92
FOMAML,VPG,103,23.59
FOMAML,VPG,104,24.57
FOMAML,VPG,105,23.35
FOMAML,VPG,106,24.29
FOMAML,VPG,107,25.66
FOMAML,VPG,108,25.92
FOMAML,VPG,109,24.63
FOMAML,VPG,110,24.01
FOMAML,VPG,111,25.4
FOMAML,VPG,112,22.1
FOMAML,VPG,113,25.39
FOMAML,VPG,114,23.75
FOMAML,VPG,115,23.71
FOMAML,VPG,116,25.55
FOMAML,VPG,117,23.58
FOMAML,VPG,118,23.17
FOMAML,VPG,119,21.56
FOMAML,VPG,120,23.02
FOMAML,VPG,121,25.35
FOMAML,VPG,122,24.25
FOMAML,VPG,123,26.38
FOMAML,VPG,124,24.4
FOMAML,VPG,125,26.17
FOMAML,VPG,126,26.94
