experiment,algo,episode,distance,time
lean_by_difficulty,VPG,0,8.67,0
lean_by_difficulty,VPG,1,13.06,0
lean_by_difficulty,VPG,2,4.85,0
lean_by_difficulty,VPG,3,13.23,0
lean_by_difficulty,VPG,4,13.29,0
lean_by_difficulty,VPG,5,14.07,0
lean_by_difficulty,VPG,6,12.89,0
lean_by_difficulty,VPG,7,11.78,0
lean_by_difficulty,VPG,8,20.64,0
lean_by_difficulty,VPG,9,24.09,0
lean_by_difficulty,VPG,10,22.26,0
lean_by_difficulty,VPG,11,19.67,0
lean_by_difficulty,VPG,12,25.16,0
lean_by_difficulty,VPG,13,22.65,0
lean_by_difficulty,VPG,14,19.69,0
lean_by_difficulty,VPG,15,19.9,0
lean_by_difficulty,VPG,16,16.97,0
lean_by_difficulty,VPG,17,17.86,0
lean_by_difficulty,VPG,18,13.62,0
lean_by_difficulty,VPG,19,13.78,0
lean_by_difficulty,VPG,20,16.4,0
lean_by_difficulty,VPG,21,13.37,0
lean_by_difficulty,VPG,22,13.59,0
lean_by_difficulty,VPG,23,16.58,0
lean_by_difficulty,VPG,24,15.47,0
lean_by_difficulty,VPG,25,14.33,0
lean_by_difficulty,VPG,26,15.67,0
lean_by_difficulty,VPG,27,13.71,0
lean_by_difficulty,VPG,28,12.14,0
lean_by_difficulty,VPG,29,11.7,0
lean_by_difficulty,VPG,30,10.75,0
lean_by_difficulty,VPG,31,13.41,0
lean_by_difficulty,VPG,32,15.03,0
lean_by_difficulty,VPG,33,12.29,0
lean_by_difficulty,VPG,34,12.42,0
lean_by_difficulty,VPG,35,13.52,0
lean_by_difficulty,VPG,36,11.79,0
lean_by_difficulty,VPG,37,13.07,0
lean_by_difficulty,VPG,38,14.85,0
lean_by_difficulty,VPG,39,7.01,0
lean_by_difficulty,VPG,40,11.62,0
lean_by_difficulty,VPG,41,11.68,0
lean_by_difficulty,VPG,42,10.63,0
lean_by_difficulty,VPG,43,13.71,0
lean_by_difficulty,VPG,44,9.56,0
lean_by_difficulty,VPG,45,8.66,0
lean_by_difficulty,VPG,46,7.84,0
lean_by_difficulty,VPG,47,7.67,0
lean_by_difficulty,VPG,48,4.82,0
lean_by_difficulty,VPG,49,4.6,0
lean_by_difficulty,VPG,50,7.81,0
lean_by_difficulty,VPG,51,4.71,0
lean_by_difficulty,VPG,52,6.39,0
lean_by_difficulty,VPG,53,5.37,0
lean_by_difficulty,VPG,54,5.98,0
lean_by_difficulty,VPG,55,3.61,0
lean_by_difficulty,VPG,56,2.81,0
lean_by_difficulty,VPG,57,3.99,0
lean_by_difficulty,VPG,58,7.45,0
lean_by_difficulty,VPG,59,3.34,0
lean_by_difficulty,VPG,60,5.8,0
lean_by_difficulty,VPG,61,4.42,0
lean_by_difficulty,VPG,62,2.39,0
lean_by_difficulty,VPG,63,4.01,0
lean_by_difficulty,VPG,64,2.54,0
lean_by_difficulty,VPG,65,3.29,0
lean_by_difficulty,VPG,66,5.13,0
lean_by_difficulty,VPG,67,4.47,0
lean_by_difficulty,VPG,68,1.88,0
lean_by_difficulty,VPG,69,3.08,0
lean_by_difficulty,VPG,70,2.16,0
lean_by_difficulty,VPG,71,3.97,0
lean_by_difficulty,VPG,72,1.47,0
lean_by_difficulty,VPG,73,3.19,0
lean_by_difficulty,VPG,74,2.17,0
lean_by_difficulty,VPG,75,2.05,0
lean_by_difficulty,VPG,76,2.19,0
lean_by_difficulty,VPG,77,1.01,0
lean_by_difficulty,VPG,78,1.72,0
lean_by_difficulty,VPG,79,2.67,0
lean_by_difficulty,VPG,80,1.71,0
lean_by_difficulty,VPG,81,0.66,0
lean_by_difficulty,VPG,82,2.32,0
lean_by_difficulty,VPG,83,1.69,0
lean_by_difficulty,VPG,84,1.03,0
lean_by_difficulty,VPG,85,0.85,0
lean_by_difficulty,VPG,86,1.28,0
lean_by_difficulty,VPG,87,1.28,0
lean_by_difficulty,VPG,88,1.53,0
lean_by_difficulty,VPG,89,1.44,0
lean_by_difficulty,VPG,90,1.45,0
lean_by_difficulty,VPG,91,0.4,0
lean_by_difficulty,VPG,92,0.89,0
lean_by_difficulty,VPG,93,1.04,0
lean_by_difficulty,VPG,94,1.92,0
lean_by_difficulty,VPG,95,3.49,0
